HGHT,TEMP,PRES,RELH,DRCT,SPED
1150,33,947.4,14,175,2.2
1163,31.7,946,16,320,1.9
1172,31.9,945,16,326,2.9
1179,32,944.3,16,327,3.4
1184,32.2,943.8,16,327,3.6
1188,32.4,943.4,15,327,3.8
1192,32.5,943,15,328,4
1196,32.7,942.5,15,328,4.3
1200,32.9,942.1,14,328,4.6
1205,33,941.6,14,328,4.8
1209,33,941.2,14,329,5.1
1214,33.1,940.7,14,329,5.4
1219,33.2,940.1,14,329,5.6
1224,33.3,939.6,13,329,5.9
1229,33.4,939.1,13,329,6.1
1233,33.5,938.6,13,329,6.3
1238,33.6,938.2,13,330,6.6
1243,33.7,937.7,13,330,6.8
1248,33.8,937.1,12,330,7
1253,33.9,936.6,12,330,7.1
1259,34,936,12,330,7.3
1264,34.1,935.4,12,330,7.5
1270,34.1,934.8,12,330,7.6
1275,34.1,934.2,11,330,7.8
1282,34.1,933.6,11,330,7.9
1287,34.1,933,11,330,8
1293,34,932.4,11,330,8.1
1299,34,931.8,11,330,8.2
1305,33.9,931.2,11,330,8.3
1310,33.9,930.7,12,330,8.4
1314,33.9,930.3,12,330,8.5
1317,33.9,929.9,12,330,8.5
1321,33.8,929.6,12,330,8.6
1324,33.8,929.2,11,330,8.6
1329,33.8,928.7,1,330,8.7
1333,33.7,928.3,1,329,8.7
1338,33.7,927.8,1,329,8.7
1342,33.7,927.3,1,329,8.8
1347,33.6,926.9,1,329,8.8
1351,33.6,926.4,1,329,8.8
1356,33.6,925.9,1,329,8.8
1362,33.5,925.3,1,329,8.8
1368,33.5,924.7,1,329,8.8
1373,33.4,924.1,1,329,8.8
1378,33.4,923.7,1,329,8.8
1381,33.3,923.3,1,329,8.8
1385,33.3,922.9,1,329,8.8
1389,33.3,922.5,1,329,8.8
1394,33.2,922,1,329,8.7
1399,33.2,921.5,1,328,8.7
1403,33.1,921.1,1,328,8.7
1407,33.1,920.6,1,328,8.7
1412,33.1,920.1,1,328,8.6
1417,33,919.6,1,328,8.6
1423,33,919.1,1,328,8.6
1427,32.9,918.6,1,328,8.5
1431,32.9,918.2,1,328,8.5
1434,32.9,917.9,1,328,8.5
1438,32.8,917.5,1,328,8.4
1441,32.8,917.1,1,328,8.4
1445,32.8,916.8,1,328,8.4
1449,32.7,916.4,1,328,8.4
1452,32.7,916,1,328,8.3
1456,32.7,915.6,2,328,8.3
1460,32.6,915.3,4,328,8.3
1463,32.6,914.9,6,328,8.3
1467,32.6,914.5,8,328,8.3
1471,32.5,914.1,9,329,8.3
1474,32.5,913.8,10,329,8.2
1478,32.5,913.4,10,329,8.2
1482,32.5,913,11,329,8.2
1486,32.4,912.5,11,329,8.2
1490,32.4,912.1,12,329,8.2
1494,32.4,911.7,12,329,8.2
1498,32.3,911.3,12,329,8.2
1502,32.3,910.9,12,329,8.2
1506,32.2,910.5,13,329,8.2
1510,32.2,910.2,13,328,8.2
1514,32.2,909.8,13,328,8.2
1517,32.1,909.4,13,328,8.1
1521,32.1,909,13,328,8.1
1525,32.1,908.6,13,328,8.1
1528,32,908.3,13,328,8.1
1532,32,907.9,13,328,8.1
1535,32,907.6,13,328,8
1539,31.9,907.2,13,328,8
1543,31.9,906.8,13,328,8
1547,31.8,906.4,13,328,7.9
1551,31.8,906,14,327,7.9
1554,31.8,905.7,14,327,7.9
1557,31.7,905.4,14,327,7.8
1561,31.7,905,14,327,7.8
1564,31.7,904.7,14,327,7.8
1568,31.6,904.3,14,327,7.7
1572,31.6,903.8,14,327,7.7
1577,31.6,903.4,14,327,7.7
1582,31.5,902.9,14,327,7.7
1586,31.5,902.5,14,327,7.6
1589,31.4,902.1,14,327,7.6
1593,31.4,901.8,14,327,7.6
1596,31.4,901.4,14,327,7.6
1600,31.3,901,14,327,7.5
1604,31.3,900.7,14,327,7.5
1607,31.3,900.3,14,327,7.5
1610,31.3,900,14,327,7.5
1614,31.2,899.6,14,327,7.5
1617,31.2,899.3,14,327,7.5
1621,31.1,898.9,14,327,7.4
1624,31.1,898.6,14,327,7.4
1627,31.1,898.3,14,327,7.4
1631,31.1,898,14,327,7.4
1634,31,897.6,14,327,7.4
1638,31,897.2,14,327,7.4
1641,31,896.9,14,327,7.4
1645,30.9,896.5,14,327,7.4
1648,30.9,896.2,15,327,7.4
1652,30.9,895.8,15,327,7.4
1656,30.8,895.4,15,327,7.4
1659,30.8,895.1,15,327,7.4
1663,30.8,894.7,15,326,7.4
1667,30.7,894.3,15,326,7.4
1670,30.7,894,15,326,7.4
1674,30.6,893.6,15,326,7.4
1678,30.6,893.2,15,326,7.4
1682,30.6,892.8,15,326,7.3
1685,30.6,892.5,15,326,7.3
1688,30.5,892.2,15,326,7.3
1691,30.5,891.9,15,326,7.3
1694,30.4,891.6,15,325,7.3
1697,30.4,891.3,15,325,7.3
1701,30.4,890.9,15,325,7.3
1704,30.4,890.6,15,325,7.3
1708,30.3,890.2,15,325,7.3
1712,30.3,889.8,15,325,7.2
1716,30.3,889.4,15,325,7.2
1719,30.2,889.1,15,325,7.2
1722,30.2,888.7,15,325,7.2
1726,30.2,888.4,15,325,7.2
1729,30.1,888.1,15,324,7.2
1733,30.1,887.7,15,324,7.1
1736,30.1,887.4,15,324,7.1
1740,30,887,15,324,7.1
1743,30,886.7,15,325,7.1
1747,30,886.3,15,325,7.1
1750,29.9,886,15,325,7.1
1753,29.9,885.7,15,325,7
1757,29.8,885.3,15,325,7
1761,29.8,884.9,15,325,7
1764,29.8,884.6,15,325,7
1768,29.7,884.2,15,325,7
1772,29.7,883.8,15,326,7
1776,29.7,883.4,15,326,6.9
1780,29.7,883,15,326,6.9
1784,29.6,882.6,15,326,6.9
1788,29.6,882.2,15,326,6.9
1792,29.5,881.9,15,327,6.9
1795,29.5,881.5,15,327,6.9
1799,29.5,881.1,16,327,6.9
1803,29.4,880.7,16,328,6.9
1806,29.4,880.4,16,328,6.9
1810,29.4,880.1,16,328,6.9
1814,29.3,879.7,16,328,6.9
1818,29.3,879.3,16,329,7
1822,29.2,878.9,16,329,7
1826,29.2,878.5,16,329,7
1829,29.2,878.1,16,329,7
1833,29.2,877.8,16,330,7
1836,29.1,877.5,16,330,7
1839,29.1,877.1,15,330,7
1843,29.1,876.8,15,330,7
1846,29,876.4,16,330,7
1850,29,876.1,16,330,7
1853,29,875.8,15,331,7.1
1857,28.9,875.4,15,331,7.1
1861,28.9,875,15,331,7.1
1864,28.9,874.7,15,331,7.1
1868,28.8,874.3,15,331,7.1
1871,28.8,874,16,331,7.1
1874,28.8,873.7,16,331,7.1
1878,28.7,873.4,16,331,7.1
1881,28.7,873,16,331,7.1
1884,28.7,872.7,16,331,7.1
1887,28.7,872.4,16,331,7.1
1890,28.6,872.1,16,331,7.1
1894,28.6,871.8,16,331,7.1
1897,28.6,871.5,16,331,7.1
1899,28.5,871.2,16,331,7.1
1902,28.5,871,16,331,7.1
1905,28.5,870.7,16,330,7.1
1908,28.4,870.3,16,330,7.1
1912,28.4,870,16,330,7.2
1916,28.4,869.6,16,330,7.2
1919,28.3,869.3,17,330,7.2
1922,28.3,869,17,330,7.2
1925,28.3,868.7,17,330,7.2
1929,28.2,868.3,17,330,7.2
1932,28.2,868,17,329,7.2
1936,28.2,867.6,17,329,7.3
1940,28.1,867.3,17,329,7.3
1943,28.1,867,17,329,7.3
1946,28.1,866.6,17,329,7.3
1949,28,866.3,17,329,7.3
1952,28,866,17,329,7.4
1956,28,865.7,17,329,7.4
1959,27.9,865.3,17,329,7.4
1963,27.9,865,17,329,7.4
1966,27.9,864.7,17,328,7.4
1969,27.9,864.4,17,328,7.4
1972,27.8,864.1,17,328,7.4
1975,27.8,863.8,17,329,7.4
